fuel_id,frac_A,frac_B,phi,temperature_K,pressure_bar,lbv_cm_per_s,source,,,
propane_air,1,0,1.214,650,2,100.914,experimental_data,,,
propane_air,1,0,1.308,650,2,89.492,experimental_data,,,
,,,,,,,,,,
propane_air,1,0,0.743,650,3,74.467,experimental_data,,,
propane_air,1,0,0.839,650,3,87.259,experimental_data,,,
propane_air,1,0,0.931,650,3,96.853,experimental_data,,,
propane_air,1,0,1.026,650,3,102.716,experimental_data,,,
propane_air,1,0,1.118,650,3,105.914,experimental_data,,,
propane_air,1,0,1.212,650,3,102.183,experimental_data,,,
propane_air,1,0,1.304,650,3,86.015,experimental_data,,,
,,,,,,,,,,
propane_air,1,0,0.748,650,4,63.096,experimental_data,,,
propane_air,1,0,0.844,650,4,76.041,experimental_data,,,
propane_air,1,0,0.935,650,4,84.924,experimental_data,,,
propane_air,1,0,1.032,650,4,89.746,experimental_data,,,
propane_air,1,0,1.123,650,4,90.254,experimental_data,,,
propane_air,1,0,1.215,650,4,87.462,experimental_data,,,
propane_air,1,0,1.31,650,4,77.056,experimental_data,,,
,,,,,,,,,,
propane_air,1,0,0.745,650,5,61.497,experimental_data,,,
propane_air,1,0,0.84,650,5,76.777,experimental_data,,,
propane_air,1,0,0.935,650,5,86.015,experimental_data,,,
propane_air,1,0,1.027,650,5,94.01,experimental_data,,,
propane_air,1,0,1.118,650,5,95.076,experimental_data,,,
propane_air,1,0,1.213,650,5,88.503,experimental_data,,,
propane_air,1,0,1.306,650,5,74.112,experimental_data,,,
,,,,,,,,,,
propane_air,1,0,1,367.5,1,58.75,experimental_data,,,
propane_air,1,0,1,382.2,1,63.625,experimental_data,,,
propane_air,1,0,1,397.5,1,61.75,experimental_data,,,
propane_air,1,0,1,414.3,1,72.625,experimental_data,,,
propane_air,1,0,1,424.2,1,73.75,experimental_data,,,
propane_air,1,0,1,442.8,1,76.75,experimental_data,,,
propane_air,1,0,1,464.7,1,84.25,experimental_data,,,
propane_air,1,0,1,482.4,1,92.875,experimental_data,,,
propane_air,1,0,1,503.4,1,103,experimental_data,,,
propane_air,1,0,1,522.6,1,107.5,experimental_data,,,
propane_air,1,0,1,546,1,112.375,experimental_data,,,
propane_air,1,0,1,560.75,1,119.125,experimental_data,,,
propane_air,1,0,1,576.3,1,129.25,experimental_data,,,
propane_air,1,0,1,591.9,1,132.25,experimental_data,,,
,,,,,,,,,,
propane_air,1,0,0.7,328.5,2,35.875,experimental_data,,,
propane_air,1,0,0.7,333.3,2,35.875,experimental_data,,,
propane_air,1,0,0.7,338.1,2,38.875,experimental_data,,,
propane_air,1,0,0.7,340.2,2,43.75,experimental_data,,,
propane_air,1,0,0.7,343.8,2,47.125,experimental_data,,,
propane_air,1,0,0.7,349.2,2,49,experimental_data,,,
propane_air,1,0,0.7,355.8,2,56.125,experimental_data,,,
propane_air,1,0,0.7,357.9,2,53.5,experimental_data,,,
propane_air,1,0,0.7,362.7,2,62.5,experimental_data,,,
propane_air,1,0,0.7,365.7,2,64.75,experimental_data,,,
propane_air,1,0,0.7,367.8,2,64.75,experimental_data,,,
propane_air,1,0,0.7,373.5,2,73.375,experimental_data,,,
propane_air,1,0,0.7,379.8,2,74.875,experimental_data,,,
propane_air,1,0,0.7,384,2,80.5,experimental_data,,,
propane_air,1,0,0.7,390.3,2,92.875,experimental_data,,,
propane_air,1,0,0.7,396,2,99.25,experimental_data,,,
,,,,,,,,,,
propane_air,1,0,1,316.5,2,44.875,experimental_data,,,
propane_air,1,0,1,321.3,2,44.125,experimental_data,,,
propane_air,1,0,1,325.8,2,50.125,experimental_data,,,
propane_air,1,0,1,331.5,2,56.5,experimental_data,,,
propane_air,1,0,1,337.5,2,62.125,experimental_data,,,
propane_air,1,0,1,340.5,2,66.625,experimental_data,,,
propane_air,1,0,1,347.1,2,76.375,experimental_data,,,
propane_air,1,0,1,351.3,2,74.125,experimental_data,,,
propane_air,1,0,1,356.25,2,81.25,experimental_data,,,
propane_air,1,0,1,359.4,2,83.125,experimental_data,,,
propane_air,1,0,1,365.7,2,89.125,experimental_data,,,
propane_air,1,0,1,373.2,2,100.375,experimental_data,,,
propane_air,1,0,1,380.625,2,104.875,experimental_data,,,
propane_air,1,0,1,384,2,113.5,experimental_data,,,
,,,,,,,,,,
n_decane_air,1,0,0.701,338,1,27.677,experimental_data,,,
n_decane_air,1,0,0.8,338,1,35.966,experimental_data,,,
n_decane_air,1,0,0.899,338,1,42.792,experimental_data,,,
n_decane_air,1,0,1.001,338,1,47.18,experimental_data,,,
n_decane_air,1,0,1.099,338,1,49.455,experimental_data,,,
n_decane_air,1,0,1.2,338,1,45.88,experimental_data,,,
n_decane_air,1,0,1.303,338,1,38.403,experimental_data,,,
n_decane_air,1,0,1.402,338,1,28.977,experimental_data,,,
,,,,,,,,,,
n_decane_air,1,0,0.699,360,1,31.396,experimental_data,,,
n_decane_air,1,0,0.803,360,1,40.604,experimental_data,,,
n_decane_air,1,0,0.9,360,1,47.849,experimental_data,,,
n_decane_air,1,0,1.002,360,1,52.906,experimental_data,,,
n_decane_air,1,0,1.099,360,1,54.943,experimental_data,,,
n_decane_air,1,0,1.199,360,1,51.245,experimental_data,,,
n_decane_air,1,0,1.3,360,1,43.396,experimental_data,,,
n_decane_air,1,0,1.4,360,1,33.434,experimental_data,,,
,,,,,,,,,,
n_decane_air,1,0,0.699,400,1,38.674,experimental_data,,,
n_decane_air,1,0,0.801,400,1,49.309,experimental_data,,,
n_decane_air,1,0,0.901,400,1,57.182,experimental_data,,,
n_decane_air,1,0,1.001,400,1,63.26,experimental_data,,,
n_decane_air,1,0,1.101,400,1,65.608,experimental_data,,,
n_decane_air,1,0,1.202,400,1,61.464,experimental_data,,,
n_decane_air,1,0,1.299,400,1,52.348,experimental_data,,,
n_decane_air,1,0,1.403,400,1,41.436,experimental_data,,,
,,,,,,,,,,
n_decane_air,1,0,0.701,470,1,53.031,experimental_data,,,
n_decane_air,1,0,0.8,470,1,65.87,experimental_data,,,
n_decane_air,1,0,0.901,470,1,75.459,experimental_data,,,
n_decane_air,1,0,1.001,470,1,82.61,experimental_data,,,
n_decane_air,1,0,1.101,470,1,85.373,experimental_data,,,
n_decane_air,1,0,1.201,470,1,80.985,experimental_data,,,
n_decane_air,1,0,1.301,470,1,70.421,experimental_data,,,
n_decane_air,1,0,1.402,470,1,57.906,experimental_data,,,
,,,,,,,,,,
n_decane_air,1,0,0.721,500,1,42.844,experimental_data,,,
n_decane_air,1,0,0.832,500,1,52.481,experimental_data,,,
n_decane_air,1,0,0.942,500,1,59.828,experimental_data,,,
n_decane_air,1,0,1.05,500,1,65.172,experimental_data,,,
n_decane_air,1,0,1.162,500,1,67.748,experimental_data,,,
n_decane_air,1,0,1.27,500,1,64.313,experimental_data,,,
n_decane_air,1,0,1.382,500,1,56.202,experimental_data,,,
n_decane_air,1,0,1.491,500,1,46.947,experimental_data,,,
,,,,,,,,,,
n_decane_air,1,0,0.699,610,1,89.402,experimental_data,,,
n_decane_air,1,0,0.8,610,1,105.584,experimental_data,,,
n_decane_air,1,0,0.898,610,1,118.12,experimental_data,,,
n_decane_air,1,0,1,610,1,127.464,experimental_data,,,
n_decane_air,1,0,1.1,610,1,132.023,experimental_data,,,
n_decane_air,1,0,1.2,610,1,126.781,experimental_data,,,
n_decane_air,1,0,1.298,610,1,113.333,experimental_data,,,
n_decane_air,1,0,1.401,610,1,99.43,experimental_data,,,
,,,,,,,,,,
n_decane_air,1,0,0.699,650,1,101.046,experimental_data,,,
n_decane_air,1,0,0.8,650,1,118.324,experimental_data,,,
n_decane_air,1,0,0.9,650,1,131.991,experimental_data,,,
n_decane_air,1,0,1,650,1,141.791,experimental_data,,,
n_decane_air,1,0,1.1,650,1,147.206,experimental_data,,,
n_decane_air,1,0,1.202,650,1,141.533,experimental_data,,,
n_decane_air,1,0,1.3,650,1,127.607,experimental_data,,,
n_decane_air,1,0,1.403,650,1,112.908,experimental_data,,,
,,,,,,,,,,
,,,,,,,,,,
n_decane_air,1,0,1,336,1,47.267,experimental_data,,,
n_decane_air,1,0,1,360.3,1,52.703,experimental_data,,,
n_decane_air,1,0,1,399,1,62.936,experimental_data,,,
n_decane_air,1,0,1,428.4,1,69.012,experimental_data,,,
n_decane_air,1,0,1,460.8,1,78.285,experimental_data,,,
n_decane_air,1,0,1,470.4,1,82.442,experimental_data,,,
n_decane_air,1,0,1,500.1,1,93.953,experimental_data,,,
n_decane_air,1,0,1,521.7,1,101.308,experimental_data,,,
n_decane_air,1,0,1,546.3,1,105.465,experimental_data,,,
n_decane_air,1,0,1,559.8,1,108.663,experimental_data,,,
n_decane_air,1,0,1,569.7,1,114.099,experimental_data,,,
n_decane_air,1,0,1,593.4,1,118.895,experimental_data,,,
n_decane_air,1,0,1,611.4,1,127.529,experimental_data,,,
,,,,,,,,,,
n_decane_air,1,0,0.7,335.4,1,27.595,experimental_data,,,
n_decane_air,1,0,0.7,360.3,1,31.531,experimental_data,,,
n_decane_air,1,0,0.7,399,1,38.615,experimental_data,,,
n_decane_air,1,0,0.7,425.7,1,43.863,experimental_data,,,
n_decane_air,1,0,0.7,441.3,1,46.749,experimental_data,,,
n_decane_air,1,0,0.7,461.1,1,50.16,experimental_data,,,
n_decane_air,1,0,0.7,468.6,1,52.522,experimental_data,,,
n_decane_air,1,0,0.7,477.3,1,53.834,experimental_data,,,
n_decane_air,1,0,0.7,489.3,1,57.77,experimental_data,,,
n_decane_air,1,0,0.7,503.1,1,61.181,experimental_data,,,
n_decane_air,1,0,0.7,524.4,1,67.741,experimental_data,,,
n_decane_air,1,0,0.7,536.4,1,72.464,experimental_data,,,
n_decane_air,1,0,0.7,551.7,1,74.3,experimental_data,,,
n_decane_air,1,0,0.7,567.9,1,75.875,experimental_data,,,
n_decane_air,1,0,0.7,582.9,1,79.548,experimental_data,,,
n_decane_air,1,0,0.7,598.2,1,83.746,experimental_data,,,
n_decane_air,1,0,0.7,605.4,1,86.37,experimental_data,,,
n_decane_air,1,0,0.7,609.9,1,90.569,experimental_data,,,
,,,,,,,,,,
n_decane_air,1,0,1.4,336.6,1,29.157,experimental_data,,,
n_decane_air,1,0,1.4,359.7,1,33.343,experimental_data,,,
n_decane_air,1,0,1.4,399.6,1,41.715,experimental_data,,,
n_decane_air,1,0,1.4,417.3,1,45.116,experimental_data,,,
n_decane_air,1,0,1.4,438.6,1,49.826,experimental_data,,,
n_decane_air,1,0,1.4,461.1,1,54.273,experimental_data,,,
n_decane_air,1,0,1.4,470.7,1,57.413,experimental_data,,,
n_decane_air,1,0,1.4,480,1,61.076,experimental_data,,,
n_decane_air,1,0,1.4,493.5,1,63.43,experimental_data,,,
n_decane_air,1,0,1.4,501.9,1,67.616,experimental_data,,,
n_decane_air,1,0,1.4,517.2,1,71.802,experimental_data,,,
n_decane_air,1,0,1.4,536.4,1,77.035,experimental_data,,,
n_decane_air,1,0,1.4,559.5,1,81.221,experimental_data,,,
n_decane_air,1,0,1.4,582,1,88.808,experimental_data,,,
n_decane_air,1,0,1.4,599.7,1,94.302,experimental_data,,,
n_decane_air,1,0,1.4,611.4,1,99.797,experimental_data,,,
,,,,,,,,,,
nh3_h2_air,0.7,0.3,0.801,298,1,27.1,experimental_data,,,
nh3_h2_air,0.7,0.3,0.902,298,1,29.3,experimental_data,,,
nh3_h2_air,0.7,0.3,1,298,1,32.1,experimental_data,,,
nh3_h2_air,0.7,0.3,1.1,298,1,35.1,experimental_data,,,
nh3_h2_air,0.7,0.3,1.201,298,1,32.7,experimental_data,,,
nh3_h2_air,0.7,0.3,0.699,300,1,22.6,experimental_data,,,
nh3_h2_air,0.7,0.3,0.8,300,1,24.9,experimental_data,,,
nh3_h2_air,0.7,0.3,0.901,300,1,29.2,experimental_data,,,
nh3_h2_air,0.7,0.3,0.999,300,1,33.8,experimental_data,,,
nh3_h2_air,0.7,0.3,1.099,300,1,35.5,experimental_data,,,
nh3_h2_air,0.7,0.3,1.202,300,1,34.8,experimental_data,,,
nh3_h2_air,0.7,0.3,0.9,473,1,51,experimental_data,,,
nh3_h2_air,0.7,0.3,1.002,473,1,58.1,experimental_data,,,
nh3_h2_air,0.7,0.3,1.1,473,1,58.9,experimental_data,,,
nh3_h2_air,0.7,0.3,1.2,473,1,56.6,experimental_data,,,
nh3_h2_air,0.7,0.3,1.302,473,1,50.8,experimental_data,,,
nh3_h2_air,0.7,0.3,1.402,473,1,47.3,experimental_data,,,
nh3_h2_air,0.7,0.3,,473,1,79.7,experimental_data,,,
nh3_h2_air,0.7,0.3,0.699,650,1,59.3,experimental_data,,,
nh3_h2_air,0.7,0.3,0.801,650,1,67.9,experimental_data,,,
nh3_h2_air,0.7,0.3,0.901,650,1,87.3,experimental_data,,,
nh3_h2_air,0.7,0.3,1.001,650,1,92.7,experimental_data,,,
nh3_h2_air,0.7,0.3,1.101,650,1,95.9,experimental_data,,,
nh3_h2_air,0.7,0.3,1.202,650,1,94.6,experimental_data,,,
,,,,,,,,,,
nh3_h2_air,0.7,0.3,1,372.9,1,29.9,experimental_data,,,
nh3_h2_air,0.7,0.3,1.2,393.3,1,34.6,experimental_data,,,
nh3_h2_air,0.7,0.3,1.2,404.7,1,38.5,experimental_data,,,
nh3_h2_air,0.7,0.3,1,423,1,39.2,experimental_data,,,
nh3_h2_air,0.7,0.3,1.2,429.9,1,43.9,experimental_data,,,
nh3_h2_air,0.7,0.3,1.2,443.4,1,44.5,experimental_data,,,
nh3_h2_air,0.7,0.3,1,449.4,1,44.1,experimental_data,,,
nh3_h2_air,0.7,0.3,1.2,460.5,1,49,experimental_data,,,
nh3_h2_air,0.7,0.3,0.8,477.3,1,30,experimental_data,,,
nh3_h2_air,0.7,0.3,1.2,478.2,1,51.3,experimental_data,,,
nh3_h2_air,0.7,0.3,1,489,1,52.7,experimental_data,,,
nh3_h2_air,0.7,0.3,0.8,491.4,1,31.9,experimental_data,,,
nh3_h2_air,0.7,0.3,1.2,503.4,1,54.9,experimental_data,,,
nh3_h2_air,0.7,0.3,1,518.7,1,60,experimental_data,,,
nh3_h2_air,0.7,0.3,0.8,520.2,1,36.6,experimental_data,,,
nh3_h2_air,0.7,0.3,1.2,528.6,1,59.7,experimental_data,,,
nh3_h2_air,0.7,0.3,1,536.7,1,63.3,experimental_data,,,
nh3_h2_air,0.7,0.3,1.2,542.4,1,65.7,experimental_data,,,
nh3_h2_air,0.7,0.3,0.8,553.2,1,43,experimental_data,,,
nh3_h2_air,0.7,0.3,1.2,559.5,1,71,experimental_data,,,
nh3_h2_air,0.7,0.3,1,563.7,1,68.6,experimental_data,,,
nh3_h2_air,0.7,0.3,1.2,581.1,1,75.8,experimental_data,,,
nh3_h2_air,0.7,0.3,1,588.9,1,72.9,experimental_data,,,
nh3_h2_air,0.7,0.3,0.8,589.2,1,48.2,experimental_data,,,
nh3_h2_air,0.7,0.3,1.2,595.5,1,79.7,experimental_data,,,
nh3_h2_air,0.7,0.3,1,601.5,1,76.2,experimental_data,,,
nh3_h2_air,0.7,0.3,0.8,615,1,53.2,experimental_data,,,
nh3_h2_air,0.7,0.3,1.2,625.2,1,86,experimental_data,,,
nh3_h2_air,0.7,0.3,1,632.1,1,84.8,experimental_data,,,
nh3_h2_air,0.7,0.3,0.8,647.7,1,58.8,experimental_data,,,
nh3_h2_air,0.7,0.3,1,648,1,88.4,experimental_data,,,
nh3_h2_air,0.7,0.3,1.2,649.2,1,92.8,experimental_data,,,
nh3_h2_air,0.7,0.3,1,662.4,1,91.1,experimental_data,,,
nh3_h2_air,0.7,0.3,0.8,671.1,1,63.8,experimental_data,,,
nh3_h2_air,0.7,0.3,0.8,690.9,1,69.1,experimental_data,,,
nh3_h2_air,0.7,0.3,1,691.2,1,99.3,experimental_data,,,
nh3_h2_air,0.7,0.3,0.8,708,1,73.6,experimental_data,,,
nh3_h2_air,0.7,0.3,0.8,726,1,77.3,experimental_data,,,
nh3_h2_air,0.6,0.4,0.699,300,1,11.6,experimental_data,,,
nh3_h2_air,0.6,0.4,0.798,300,1,18.1,experimental_data,,,
nh3_h2_air,0.6,0.4,0.897,300,1,29.7,experimental_data,,,
nh3_h2_air,0.6,0.4,0.994,300,1,31,experimental_data,,,
nh3_h2_air,0.6,0.4,1.092,300,1,34.6,experimental_data,,,
nh3_h2_air,0.6,0.4,1.192,300,1,31,experimental_data,,,
nh3_h2_air,0.6,0.4,0.699,473,1,35.2,experimental_data,,,
nh3_h2_air,0.6,0.4,0.796,473,1,52.4,experimental_data,,,
nh3_h2_air,0.6,0.4,0.797,473,1,48.2,experimental_data,,,
nh3_h2_air,0.6,0.4,0.894,473,1,69.2,experimental_data,,,
nh3_h2_air,0.6,0.4,0.895,473,1,60.4,experimental_data,,,
nh3_h2_air,0.6,0.4,0.994,473,1,72.7,experimental_data,,,
nh3_h2_air,0.6,0.4,0.994,473,1,65.9,experimental_data,,,
nh3_h2_air,0.6,0.4,1.092,473,1,68.5,experimental_data,,,
nh3_h2_air,0.6,0.4,1.093,473,1,78.2,experimental_data,,,
nh3_h2_air,0.6,0.4,1.192,473,1,70.8,experimental_data,,,
nh3_h2_air,0.6,0.4,1.192,473,1,68.5,experimental_data,,,
nh3_h2_air,0.6,0.4,1.288,473,1,58.5,experimental_data,,,
nh3_h2_air,0.6,0.4,1.387,473,1,52,experimental_data,,,
nh3_h2_air,0.6,0.4,0.7,650,1,80.8,experimental_data,,,
nh3_h2_air,0.6,0.4,0.799,650,1,92.4,experimental_data,,,
nh3_h2_air,0.6,0.4,0.897,650,1,117,experimental_data,,,
nh3_h2_air,0.6,0.4,0.996,650,1,120.9,experimental_data,,,
nh3_h2_air,0.6,0.4,1.092,650,1,123.8,experimental_data,,,
nh3_h2_air,0.6,0.4,1.191,650,1,112.5,experimental_data,,,
nh3_h2_air,0.6,0.4,1,367.5,1,45.8,experimental_data,,,
nh3_h2_air,0.6,0.4,1.2,368.1,1,44.8,experimental_data,,,
nh3_h2_air,0.6,0.4,1,381.3,1,48.1,experimental_data,,,
nh3_h2_air,0.6,0.4,1.2,383.1,1,48.1,experimental_data,,,
nh3_h2_air,0.6,0.4,1.2,397.2,1,51.6,experimental_data,,,
nh3_h2_air,0.6,0.4,0.8,401.4,1,34.8,experimental_data,,,
nh3_h2_air,0.6,0.4,1,407.1,1,54.7,experimental_data,,,
nh3_h2_air,0.6,0.4,1,423,1,59.3,experimental_data,,,
nh3_h2_air,0.6,0.4,1.2,426.6,1,57,experimental_data,,,
nh3_h2_air,0.6,0.4,1.2,439.2,1,60.9,experimental_data,,,
nh3_h2_air,0.6,0.4,0.8,449.7,1,43.7,experimental_data,,,
nh3_h2_air,0.6,0.4,1,450,1,66.9,experimental_data,,,
nh3_h2_air,0.6,0.4,1,463.8,1,71.6,experimental_data,,,
nh3_h2_air,0.6,0.4,1.2,469.8,1,70.7,experimental_data,,,
nh3_h2_air,0.6,0.4,1.2,484.5,1,74.6,experimental_data,,,
nh3_h2_air,0.6,0.4,1,495,1,80.8,experimental_data,,,
nh3_h2_air,0.6,0.4,0.8,500.4,1,55.1,experimental_data,,,
nh3_h2_air,0.6,0.4,1.2,504,1,78.5,experimental_data,,,
nh3_h2_air,0.6,0.4,0.8,513,1,56.9,experimental_data,,,
nh3_h2_air,0.6,0.4,1,521.4,1,89.4,experimental_data,,,
nh3_h2_air,0.6,0.4,1.2,525.6,1,85.7,experimental_data,,,
nh3_h2_air,0.6,0.4,1.2,537.6,1,89.9,experimental_data,,,
nh3_h2_air,0.6,0.4,1,542.1,1,96.4,experimental_data,,,
nh3_h2_air,0.6,0.4,1.2,542.7,1,91.6,experimental_data,,,
nh3_h2_air,0.6,0.4,0.8,548.4,1,66.2,experimental_data,,,
nh3_h2_air,0.6,0.4,0.8,557.1,1,69.1,experimental_data,,,
nh3_h2_air,0.6,0.4,1,557.1,1,101,experimental_data,,,
nh3_h2_air,0.6,0.4,1.2,566.1,1,99.1,experimental_data,,,
nh3_h2_air,0.6,0.4,0.8,569.1,1,72.2,experimental_data,,,
nh3_h2_air,0.6,0.4,1,575.1,1,106.6,experimental_data,,,
nh3_h2_air,0.6,0.4,0.8,589.2,1,77,experimental_data,,,
nh3_h2_air,0.6,0.4,1.2,592.8,1,108.1,experimental_data,,,
nh3_h2_air,0.6,0.4,0.8,601.2,1,80.7,experimental_data,,,
nh3_h2_air,0.6,0.4,1,604.8,1,115.9,experimental_data,,,
nh3_h2_air,0.6,0.4,0.8,613.2,1,84.4,experimental_data,,,
nh3_h2_air,0.6,0.4,1,621.3,1,121.8,experimental_data,,,
nh3_h2_air,0.6,0.4,1.2,623.1,1,123.6,experimental_data,,,
nh3_h2_air,0.6,0.4,0.8,626.1,1,88.1,experimental_data,,,
nh3_h2_air,0.6,0.4,0.8,634.2,1,90.7,experimental_data,,,
nh3_h2_air,0.6,0.4,1,642.3,1,129.8,experimental_data,,,
nh3_h2_air,0.6,0.4,0.8,647.7,1,95.5,experimental_data,,,
nh3_h2_air,0.6,0.4,0.8,652.5,1,97,experimental_data,,,
nh3_h2_air,0.6,0.4,0.8,673.8,1,104.7,experimental_data,,,
,,,,,,,,,,
c1_c4_alkane_air,1,0,0.7,300,1,16.8,experimental_data,,,
c1_c4_alkane_air,1,0,0.7,300,1,16.8,experimental_data,,,
c1_c4_alkane_air,1,0,0.69,300,1,20.96,experimental_data,,,
c1_c4_alkane_air,1,0,0.7,300,1,19.7,experimental_data,,,
